order_id,customer_id,order_date,payment_method,order_status
111,53,2025-12-16,kakao_pay,refunded
112,34,2026-01-17,kakao_pay,cancelled
113,125,2026-05-21,card,completed
114,62,2026-03-06,bank_transfer,completed
115,142,2025-12-11,card,refunded
116,105,2025-12-19,card,completed
117,30,2026-05-04,naver_pay,completed
118,40,2026-01-28,naver_pay,completed
119,131,2025-11-18,kakao_pay,cancelled
120,124,2025-12-02,naver_pay,completed
121,117,2025-11-10,bank_transfer,cancelled
122,49,2025-11-02,bank_transfer,completed
123,71,2025-09-20,naver_pay,completed
124,130,2026-05-12,kakao_pay,completed
125,73,2025-10-18,kakao_pay,refunded
126,149,2025-12-05,naver_pay,completed
127,115,2025-09-20,naver_pay,completed
128,86,2026-05-20,naver_pay,cancelled
129,83,2026-03-01,bank_transfer,completed
130,147,2026-05-28,naver_pay,completed
131,106,2026-04-30,card,completed
132,122,2025-10-15,naver_pay,cancelled
133,39,2025-10-18,naver_pay,completed
134,33,2025-10-28,kakao_pay,completed
135,113,2026-05-18,card,refunded
136,117,2026-02-09,card,completed
137,105,2025-11-20,bank_transfer,completed
138,121,2026-05-13,kakao_pay,completed
139,102,2026-03-21,card,completed
140,137,2026-05-27,naver_pay,completed
141,125,2026-02-24,card,refunded
142,18,2026-03-24,bank_transfer,completed
143,59,2025-11-22,card,cancelled
144,26,2025-09-13,card,cancelled
145,43,2026-06-24,kakao_pay,completed
146,12,2025-10-19,kakao_pay,completed
147,76,2025-11-28,kakao_pay,completed
148,111,2025-11-01,bank_transfer,completed
149,136,2025-12-23,naver_pay,refunded
150,47,2025-10-13,bank_transfer,completed
151,21,2025-11-30,naver_pay,refunded
152,62,2025-08-10,naver_pay,refunded
153,37,2026-05-06,bank_transfer,cancelled
154,66,2026-02-28,naver_pay,completed
155,3,2025-09-23,naver_pay,completed
156,140,2025-11-19,bank_transfer,completed
157,114,2025-08-22,kakao_pay,refunded
158,77,2025-08-26,naver_pay,completed
159,117,2026-03-07,kakao_pay,completed
160,99,2025-11-26,naver_pay,completed
161,61,2026-05-02,naver_pay,refunded
162,92,2025-09-23,kakao_pay,completed
163,6,2026-04-09,naver_pay,completed
164,3,2026-07-08,card,refunded
165,128,2026-05-24,kakao_pay,completed
166,91,2026-02-11,bank_transfer,completed
167,65,2025-09-13,bank_transfer,completed
168,11,2026-07-09,kakao_pay,cancelled
169,9,2025-08-09,kakao_pay,completed
170,24,2026-03-15,kakao_pay,completed
171,107,2025-11-23,bank_transfer,completed
172,34,2026-02-03,kakao_pay,refunded
173,129,2026-02-06,kakao_pay,completed
174,66,2026-01-23,naver_pay,completed
175,87,2025-12-15,card,cancelled
176,20,2025-10-15,bank_transfer,completed
177,102,2025-08-24,kakao_pay,completed
178,102,2025-11-11,card,completed
179,138,2026-08-05,card,cancelled
180,95,2026-07-05,kakao_pay,refunded
181,98,2026-02-06,kakao_pay,completed
182,60,2025-09-18,naver_pay,completed
183,144,2026-06-20,kakao_pay,refunded
184,57,2025-08-30,card,cancelled
185,78,2026-01-07,naver_pay,completed
186,36,2026-02-11,card,completed
187,78,2025-09-02,naver_pay,completed
188,25,2026-03-17,bank_transfer,refunded
189,35,2026-04-06,naver_pay,cancelled
190,95,2026-04-28,naver_pay,refunded
191,40,2025-08-25,naver_pay,completed
192,126,2025-10-02,naver_pay,completed
193,9,2025-10-01,kakao_pay,completed
194,114,2026-06-16,naver_pay,completed
195,93,2026-03-11,card,completed
196,140,2025-11-30,kakao_pay,completed
197,102,2025-09-07,kakao_pay,completed
198,32,2025-11-09,naver_pay,completed
199,55,2025-09-20,card,completed
200,86,2026-03-09,bank_transfer,completed
201,145,2026-05-28,bank_transfer,completed
202,142,2026-01-13,bank_transfer,refunded
203,56,2026-03-28,bank_transfer,completed
204,38,2026-03-24,card,completed
205,38,2026-06-08,bank_transfer,refunded
206,65,2026-04-02,bank_transfer,completed
207,7,2025-10-31,bank_transfer,completed
208,92,2026-06-02,bank_transfer,refunded
209,83,2026-02-23,card,completed
210,68,2025-12-30,card,completed
211,108,2026-01-26,card,completed
212,122,2026-07-23,naver_pay,completed
213,132,2026-01-23,card,cancelled
214,129,2025-11-28,bank_transfer,refunded
215,12,2026-07-05,kakao_pay,cancelled
216,8,2026-03-21,card,cancelled
217,103,2026-01-18,naver_pay,completed
218,126,2025-12-01,naver_pay,completed
219,21,2026-03-13,kakao_pay,refunded
220,38,2026-04-03,card,completed
221,71,2025-08-28,kakao_pay,cancelled
222,136,2026-03-29,kakao_pay,cancelled
223,130,2026-05-19,naver_pay,completed
224,30,2025-09-12,bank_transfer,cancelled
225,116,2026-05-28,bank_transfer,cancelled
226,87,2025-10-24,naver_pay,cancelled
227,107,2026-04-04,card,completed
228,110,2025-10-25,kakao_pay,completed
229,96,2025-11-15,bank_transfer,cancelled
230,18,2026-04-18,card,completed
231,24,2025-09-05,naver_pay,completed
232,96,2025-10-04,bank_transfer,refunded
233,16,2025-11-06,kakao_pay,completed
234,106,2025-10-11,kakao_pay,cancelled
235,14,2026-03-07,kakao_pay,refunded
236,80,2025-09-03,kakao_pay,completed
237,148,2025-10-04,bank_transfer,completed
238,124,2025-08-06,bank_transfer,completed
239,90,2026-01-10,kakao_pay,completed
240,72,2026-01-26,bank_transfer,cancelled
241,144,2026-04-29,card,refunded
242,69,2026-03-23,card,completed
243,70,2026-02-03,kakao_pay,completed
244,90,2025-11-26,card,completed
245,37,2025-08-17,naver_pay,completed
246,37,2025-11-02,card,completed
247,136,2025-11-24,bank_transfer,cancelled
248,108,2026-05-06,naver_pay,completed
249,41,2025-11-22,kakao_pay,completed
250,84,2026-05-05,card,completed
251,40,2026-07-04,bank_transfer,refunded
252,13,2026-01-28,card,completed
253,114,2025-09-01,naver_pay,cancelled
254,114,2026-04-28,naver_pay,completed
255,56,2025-11-03,card,completed
256,111,2026-07-29,card,completed
257,125,2025-11-15,kakao_pay,completed
258,57,2026-06-06,naver_pay,refunded
259,15,2026-06-08,card,completed
260,78,2026-04-04,bank_transfer,completed
261,66,2026-03-22,kakao_pay,completed
262,31,2026-04-18,card,cancelled
263,111,2026-06-13,bank_transfer,completed
264,98,2026-08-02,bank_transfer,refunded
265,144,2025-10-20,kakao_pay,completed
266,102,2026-01-17,card,cancelled
267,5,2025-09-18,naver_pay,completed
268,81,2026-03-04,naver_pay,refunded
269,104,2025-10-31,naver_pay,completed
270,30,2026-04-13,naver_pay,completed
271,84,2025-10-01,bank_transfer,refunded
272,118,2026-07-23,kakao_pay,completed
273,112,2025-11-16,card,completed
274,112,2026-06-22,naver_pay,refunded
275,21,2025-09-29,naver_pay,completed
276,87,2025-09-01,bank_transfer,completed
277,44,2025-08-28,card,refunded
278,30,2025-10-08,bank_transfer,completed
279,90,2026-06-08,bank_transfer,completed
280,27,2025-12-02,bank_transfer,completed
281,51,2026-03-24,bank_transfer,refunded
282,40,2026-05-22,card,completed
283,127,2026-06-21,naver_pay,refunded
284,149,2026-03-14,naver_pay,refunded
285,83,2026-07-28,kakao_pay,completed
286,113,2025-11-25,card,cancelled
287,114,2026-01-22,kakao_pay,completed
288,15,2025-09-22,kakao_pay,refunded
289,19,2026-02-03,kakao_pay,cancelled
290,116,2026-04-29,card,completed
291,95,2025-12-01,kakao_pay,completed
292,24,2026-05-03,naver_pay,cancelled
293,149,2026-01-08,card,cancelled
294,147,2025-11-18,bank_transfer,completed
295,122,2026-02-15,bank_transfer,completed
296,116,2026-03-02,card,completed
297,22,2026-02-12,bank_transfer,completed
298,64,2026-01-22,naver_pay,cancelled
299,135,2025-09-05,bank_transfer,completed
300,96,2026-03-25,kakao_pay,cancelled
